tech,hs_code,description,category,shap_mean_z
Geothermal,842010,"Machines; calendering or other rolling machines, for other than metal or glass",Machinery,0.523031077521363
Geothermal,260111,Iron ores and concentrates; non-agglomerated,Metals,0.5195355956190179
Geothermal,260300,Copper ores and concentrates,Metals,0.5170853599511168
Geothermal,845710,Machining centres; for working metal,Machinery,0.513988244777673
Geothermal,720249,"Ferro-alloys; ferro-chromium, containing by weight 4% or less of carbon",Metals,0.5129152536214577
Geothermal,843041,"Boring or sinking machinery; self-propelled, n.e.s. in heading no. 8430",Machinery,0.5081204054316536
Geothermal,391190,"Polysulphides, polysulphones and similar products of chemical synthesis n.e.s. in chapter 39; in primary forms",Chemicals,0.5021280013027026
Heat Pumps,841410,Pumps; vacuum,Machinery,0.8216861646867383
Heat Pumps,841430,Compressors; of a kind used in refrigerating equipment,Machinery,0.7802597689029391
Heat Pumps,841590,"Air conditioning machines; with motor driven fan and elements for temperature control, parts thereof",Machinery,0.7517227939571548
Heat Pumps,846241,"Machine-tools; punching or notching machines (including presses), including combined punching and shearing machines, numerically controlled, for working metal",Machinery,0.7439067765521786
Heat Pumps,841490,"Pumps and compressors; parts, of air or vacuum pumps, air or other gas compressors and fans, ventilating or recycling hoods incorporating a fan",Machinery,0.7278109008926993
Heat Pumps,NA,gdp_z,Non-HS,0.7269634393274602
Heat Pumps,841899,"Refrigerating or freezing equipment; parts thereof, other than furniture",Machinery,0.7151996310954931
Heat Pumps,853400,Circuits; printed,Electronics,0.7094871096537716
Heat Pumps,820720,"Tools, interchangeable; (for machine or hand tools, whether or not power-operated), dies for drawing or extruding metal",Metals,0.6900240650288278
Heat Pumps,841582,"Air conditioning machines; containing a motor driven fan, other than window or wall types, incorporating a refrigerating unit",Machinery,0.6841760617250299
Heat Pumps,854121,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of less than 1W",Electronics,0.6746928497976157
Heat Pumps,741110,"Copper; tubes and pipes, of refined copper",Metals,0.6667530924329239
Heat Pumps,846150,"Machine-tools; sawing or cutting-off machines, working by removing metal, sintered metal carbides or cermets",Machinery,0.6562269364934924
Heat Pumps,NA,trade_z,Non-HS,0.6545984356036757
Heat Pumps,NA,pop_z,Non-HS,0.6487442769933253
Heat Pumps,260300,Copper ores and concentrates,Metals,0.6427710968405197
Heat Pumps,260600,Aluminium ores and concentrates,Metals,0.638284614990926
Heat Pumps,NA,industry_gdp_z,Non-HS,0.6376841195194862
Heat Pumps,281820,Aluminium oxide; other than artificial corundum,Chemicals,0.6373136343794917
Heat Pumps,851521,"Welding machines and apparatus; for resistance welding of metal, fully or partly automatic, whether or not capable of cutting",Electronics,0.626652284625674
Heat Pumps,760820,"Aluminium; tubes and pipes, alloys",Metals,0.6242231636716319
Heat Pumps,NA,fdi_z,Non-HS,0.6181993113756612
Heat Pumps,840290,Boilers; parts of steam or other vapour generating boilers,Machinery,0.6071115103330103
Heat Pumps,740110,Copper; copper mattes,Metals,0.590499323530768
Heat Pumps,NA,mfg_z,Non-HS,0.580027605319928
Heat Pumps,841381,Pumps and liquid elevators; n.e.s. in heading no. 8413,Machinery,0.5606857831583958
Heat Pumps,251910,Magnesium carbonate (magnesite); natural,Industrial Materials,0.5577656374772295
Heat Pumps,740313,"Copper; refined, unwrought, billets",Metals,0.5439759151439948
Heat Pumps,841480,"Pumps and compressors; for air, vacuum or gas, n.e.s. in heading no. 8414",Machinery,0.5432684800057243
Heat Pumps,252921,Fluorspar; containing by weight 97% or less of calcium fluoride,Industrial Materials,0.5219274364021538
Heat Pumps,260400,Nickel ores and concentrates,Metals,0.521235822163388
Heat Pumps,846229,"Machine-tools; bending, folding, straightening or flattening machines (including presses), (other than numerically controlled), for working metal",Machinery,0.5151203336114801
Magnets,820720,"Tools, interchangeable; (for machine or hand tools, whether or not power-operated), dies for drawing or extruding metal",Metals,0.6669215544112669
Magnets,847982,"Machines; for mixing, kneading, crushing, grinding, screening, sifting, homogenising, emulsifying or stirring",Machinery,0.6036395735308221
Magnets,283324,Sulphates; of nickel,Chemicals,0.5929792951510733
Magnets,680421,"Millstones, grindstones, grinding wheels and the like; of agglomerated synthetic or natural diamond",Industrial Materials,0.5851784163200862
Magnets,NA,industry_gdp_z,Non-HS,0.5792019817635856
Magnets,847990,"Machines and mechanical appliances; parts, of those having individual functions",Machinery,0.5751363429710243
Magnets,851440,"Heating equipment; for the heat treatment of materials by induction or dielectric loss, industrial or laboratory, other than furnaces and ovens",Electronics,0.5583085989343654
Magnets,NA,mfg_z,Non-HS,0.5543322476506579
Magnets,260300,Copper ores and concentrates,Metals,0.5537375310062607
Magnets,260600,Aluminium ores and concentrates,Metals,0.5289278776021218
Magnets,NA,gdp_z,Non-HS,0.525244899439629
Nuclear,841940,Distilling or rectifying plant; not used for domestic purposes,Machinery,0.6994977163884689
Nuclear,NA,fdi_z,Non-HS,0.6574641078551449
Nuclear,721922,"Steel, stainless; flat-rolled, width 600mm or more, hot-rolled, (not in coils), of a thickness of 4.75mm or more but not exceeding 10mm",Metals,0.6501199384495284
Nuclear,720270,Ferro-alloys; ferro-molybdenum,Metals,0.6332900292805919
Nuclear,841989,"Machinery, plant and laboratory equipment; for treating materials by change of temperature, other than for making hot drinks or cooking or heating food",Machinery,0.6169614282777387
Nuclear,NA,gdp_z,Non-HS,0.5965323907334724
Nuclear,840420,"Boilers; condensers, for steam or other vapour power units",Machinery,0.5962813061935901
Nuclear,282520,Lithium oxide and hydroxide,Chemicals,0.5817131301340248
Nuclear,840690,Turbines; parts of steam and other vapour turbines,Machinery,0.5785310983749554
Nuclear,261390,Molybdenum ores and concentrates; other than roasted,Metals,0.5707078709667628
Nuclear,722790,"Steel, alloy; bars and rods, hot-rolled, in irregularly wound coils, n.e.s. in heading no. 7227",Metals,0.561085718031505
Nuclear,722011,"Steel, stainless; flat-rolled, width less than 600mm, hot-rolled, of a thickness of 4.75mm or more",Metals,0.5430249111322683
Nuclear,NA,industry_gdp_z,Non-HS,0.534755421364431
