"tech","code","label","role","stage"
"Biofuel","440121","Feedstock Input; Forestry Product","Raw Material","Upstream"
"Biofuel","440122","Feedstock Input; Forestry Product","Raw Material","Upstream"
"Biofuel","151000","Feedstock Input; Other Virgin Oil","Raw Material","Upstream"
"Biofuel","151329","Feedstock Input; Palm Oil","Raw Material","Upstream"
"Biofuel","151490","Feedstock Input; Rapeseed Oil","Raw Material","Upstream"
"Biofuel","150790","Feedstock Input; Soybean Oil","Raw Material","Upstream"
"Biofuel","121292","Feedstock Input; Sugar Cane","Raw Material","Upstream"
"Biofuel","151610","Feedstock Input; Tallow","Raw Material","Upstream"
"Biofuel","440130","Feedstock Input; Wood Waste","Raw Material","Upstream"
"Biofuel","281121","Fuel Input; CO2","Raw Material","Upstream"
"Biofuel","280410","Fuel Input; Hydrogen","Raw Material","Upstream"
"Biofuel","261310","Molybdenum Ore","Raw Material","Upstream"
"Biofuel","260400","Nickel Ore","Raw Material","Upstream"
"Biofuel","261400","Titanium Ore","Raw Material","Upstream"
"Biofuel","261100","Tungsten Ore","Raw Material","Upstream"
"Biofuel","261510","Zirconium Ore","Raw Material","Upstream"
"Electrolyzers","284330","Bi-Polar Plate; Gold","Processed Material","Midstream"
"Electrolyzers","282200","Catalyst; Cobalt Oxide / Hydroxides","Processed Material","Midstream"
"Electrolyzers","711041","Catalyst; Iridium","Processed Material","Midstream"
"Electrolyzers","810210","Catalyst; Molybdenum","Processed Material","Midstream"
"Electrolyzers","283324","Catalyst; Nickel Sulfate","Processed Material","Midstream"
"Electrolyzers","711021","Catalyst; Palladium","Processed Material","Midstream"
"Electrolyzers","711011","Catalyst; Platinum","Processed Material","Midstream"
"Electrolyzers","810110","Catalyst; Tungsten","Processed Material","Midstream"
"Electrolyzers","283699","Cobalt Carbonate","Processed Material","Midstream"
"Electrolyzers","283329","Cobalt Sulfate","Processed Material","Midstream"
"Electrolyzers","390130","Diaphragm; Ethylene Polymer","Processed Material","Midstream"
"Electrolyzers","390190","Diaphragm; Ethylene Polymer","Processed Material","Midstream"
"Electrolyzers","390230","Diaphragm; Propylene Polymer","Processed Material","Midstream"
"Electrolyzers","390290","Diaphragm; Propylene Polymer","Processed Material","Midstream"
"Electrolyzers","282300","Diffusion Layer; Titanium Oxide","Processed Material","Midstream"
"Electrolyzers","400270","Gasket; Ethylene Propylene Diene Rubber (EPDM)","Processed Material","Midstream"
"Electrolyzers","391000","Gasket; Silicone","Processed Material","Midstream"
"Electrolyzers","260500","Cobalt Ore","Raw Material","Upstream"
"Electrolyzers","261390","Molybdenum Ore","Raw Material","Upstream"
"Electrolyzers","261310","Molybdenum Ore (Roasted)","Raw Material","Upstream"
"Electrolyzers","260400","Nickel Ore","Raw Material","Upstream"
"Electrolyzers","261400","Titanium Ore","Raw Material","Upstream"
"Electrolyzers","261100","Tungsten Ore","Raw Material","Upstream"
"Geothermal","720610","Casing; Carbon Steel","Processed Material","Midstream"
"Geothermal","720249","Casing; Ferro-chromium","Processed Material","Midstream"
"Geothermal","720230","Casing; Ferro-manganese","Processed Material","Midstream"
"Geothermal","720270","Casing; Ferro-molybdenum","Processed Material","Midstream"
"Geothermal","720260","Casing; Ferro-nickel","Processed Material","Midstream"
"Geothermal","720291","Casing; Ferro-titanium","Processed Material","Midstream"
"Geothermal","722490","Casing; Semi-finished Products of Alloy Steel","Processed Material","Midstream"
"Geothermal","722410","Casing; Steel Alloy Ignot (Not Stainless)","Processed Material","Midstream"
"Geothermal","710510","Diamond Powder","Processed Material","Midstream"
"Geothermal","252330","Geothermal Wells; Cement","Processed Material","Midstream"
"Geothermal","710229","Industrial Diamonds","Processed Material","Midstream"
"Geothermal","400249","Mud Hose; Chloroprene rubber","Processed Material","Midstream"
"Geothermal","400259","Mud Hose; Nitrile Rubber","Processed Material","Midstream"
"Geothermal","732620","Mud Hose; Steel Wire","Processed Material","Midstream"
"Geothermal","260600","Aluminum Ore","Raw Material","Upstream"
"Geothermal","261000","Chromium Ore","Raw Material","Upstream"
"Geothermal","260300","Copper Ore","Raw Material","Upstream"
"Geothermal","250810","Drilling Fluid; Bentonite","Raw Material","Upstream"
"Geothermal","283620","Drilling Fluid; Sodium Carbonate","Raw Material","Upstream"
"Geothermal","260120","Iron (Roasted Iron Pyrites)","Raw Material","Upstream"
"Geothermal","260112","Iron Ore (Agglomerated)","Raw Material","Upstream"
"Geothermal","260111","Iron Ore (Non- Agglomerated)","Raw Material","Upstream"
"Geothermal","252100","Limestone","Raw Material","Upstream"
"Geothermal","260200","Manganese Ore","Raw Material","Upstream"
"Geothermal","252520","Mica","Raw Material","Upstream"
"Geothermal","261390","Molybdenum Ore","Raw Material","Upstream"
"Geothermal","260400","Nickel Ore","Raw Material","Upstream"
"Geothermal","261400","Titanium Ore","Raw Material","Upstream"
"Heat Pumps","760120","Alloyed Unwrought Aluminum","Processed Material","Midstream"
"Heat Pumps","281820","Alumina","Processed Material","Midstream"
"Heat Pumps","740313","Copper Billets Unwrought; Copper Tubing","Processed Material","Midstream"
"Heat Pumps","740110","Copper Mattes","Processed Material","Midstream"
"Heat Pumps","260600","Bauxite Ore","Raw Material","Upstream"
"Heat Pumps","260300","Copper Ore","Raw Material","Upstream"
"Heat Pumps","251910","Magnesium Ore","Raw Material","Upstream"
"Heat Pumps","261390","Molybdenum Ore","Raw Material","Upstream"
"Heat Pumps","260400","Nickel Ore","Raw Material","Upstream"
"Magnets","760120","Aluminum Unwrought; Alloyed","Processed Material","Midstream"
"Magnets","284690","Compounds, Mixes of Rare-earths, Yttrium, Scandium","Processed Material","Midstream"
"Magnets","720293","Ferro-niobium","Processed Material","Midstream"
"Magnets","283324","Nickel Sulfates","Processed Material","Midstream"
"Magnets","280530","Rare-earth Metals, Scandium and Yttrium","Processed Material","Midstream"
"Magnets","260600","Bauxite Ore","Raw Material","Upstream"
"Magnets","260300","Copper Ore and Concentrate","Raw Material","Upstream"
"Magnets","260400","Nickel Ores and Concentrates","Raw Material","Upstream"
"Magnets","261590","Niobium, Tantalum and Vanadium Ores and Concentrates","Raw Material","Upstream"
"Magnets","260120","Roasted Iron Pyrite","Raw Material","Upstream"
