year,tech,role,stage,exports,imports,balance
2019,Geothermal,Product Component,Downstream,178741.5070000001,507764.3580000002,-329022.8510000001
2019,Geothermal,Raw Material,Upstream,28836466.960999995,1108700.37,27727766.590999994
2019,Geothermal,Final Product,Final Product,146553.45200000002,1088227.722,-941674.27
2020,Geothermal,Product Component,Midstream,206375.8445,1121255.5036666673,-914879.6591666673
2020,Geothermal,Product Component,Downstream,138741.61700000003,390197.10699999996,-251455.48999999993
2020,Geothermal,Raw Material,Upstream,31361809.22199999,826384.755,30535424.466999993
2020,Geothermal,Processed Material,Midstream,1249904.4955,91634.85000000002,1158269.6454999999
2020,Geothermal,Process Equipment,Downstream,88930.524,196446.42066666667,-107515.89666666667
2020,Geothermal,Final Product,Final Product,109125.83799999996,213291.77000000002,-104165.93200000006
2020,Geothermal,Process Equipment,Midstream,9678.365999999998,39488.66766666667,-29810.30166666667
2021,Geothermal,Product Component,Midstream,274597.09416666656,1522679.741166667,-1248082.6470000006
2021,Geothermal,Product Component,Downstream,207617.72799999994,557257.8899999999,-349640.16199999995
2021,Geothermal,Final Product,Final Product,161283.6379999999,345975.98699999996,-184692.34900000007
2021,Geothermal,Process Equipment,Downstream,80355.20416666666,328307.6201666667,-247952.41600000003
2021,Geothermal,Raw Material,Upstream,50980784.642000005,822209.402,50158575.24
2021,Geothermal,Processed Material,Midstream,1867161.4525,147274.58950000003,1719886.863
2021,Geothermal,Process Equipment,Midstream,9457.945166666666,94282.27716666667,-84824.332
2022,Geothermal,Product Component,Midstream,342331.21899999975,1781331.5735,-1439000.3545000001
2022,Geothermal,Process Equipment,Downstream,22386.433500000003,234532.72749999998,-212146.29399999997
2022,Geothermal,Process Equipment,Midstream,13189.7785,79160.74449999999,-65970.96599999999
2022,Geothermal,Product Component,Downstream,170959.04400000005,463077.56000000006,-292118.516
2022,Geothermal,Raw Material,Upstream,33898982.35299999,842650.672,33056331.680999994
2022,Geothermal,Final Product,Final Product,172720.5210000001,293783.03099999996,-121062.50999999986
2022,Geothermal,Processed Material,Midstream,2183127.6399999997,168340.04950000002,2014787.5904999997
2023,Geothermal,Product Component,Midstream,319659.2341666666,1596288.3248333335,-1276629.0906666669
2023,Geothermal,Process Equipment,Downstream,31528.446166666676,266996.56183333334,-235468.11566666665
2023,Geothermal,Process Equipment,Midstream,31471.92916666667,75200.63183333335,-43728.70266666668
2023,Geothermal,Final Product,Final Product,156433.40399999998,566957.5980000001,-410524.19400000013
2023,Geothermal,Product Component,Downstream,237305.44199999995,511623.588,-274318.14600000007
2023,Geothermal,Raw Material,Upstream,35751132.65400001,779774.3420000001,34971358.31200001
2023,Geothermal,Processed Material,Midstream,2145695.6285,177548.0075,1968147.621
2024,Geothermal,Product Component,Midstream,306734.6520000002,1734374.559,-1427639.9069999997
2024,Geothermal,Product Component,Downstream,274179.67000000004,545561.173,-271381.5029999999
2024,Geothermal,Final Product,Final Product,252580.07200000001,482379.2300000001,-229799.15800000008
2024,Geothermal,Process Equipment,Downstream,32650.689000000002,337039.0580000001,-304388.36900000006
2024,Geothermal,Raw Material,Upstream,36025766.286,366640.57200000004,35659125.714
2024,Geothermal,Processed Material,Midstream,1536383.3979999998,153021.116,1383362.282
2024,Geothermal,Process Equipment,Midstream,28685.741,119576.90199999999,-90891.161
