tech,code,name,role,stage,position,step,hs_rev_canonical,split_weight,codename,nace4,naics6_nace,naics6,naics6_all,naics_n_mapped
Biofuel,261400,Titanium Ore,Raw Material,Upstream,Upstream | Raw Material,1,HS22,1,261400 | Titanium Ore,0729,212290,212290,212290,1
Biofuel,261510,Zirconium Ore,Raw Material,Upstream,Upstream | Raw Material,1,HS22,1,261510 | Zirconium Ore,0729,212290,212290,212290,1
Biofuel,280410,Fuel Input; Hydrogen,Raw Material,Upstream,Upstream | Raw Material,1,HS22,1,280410 | Fuel Input; Hydrogen,2011,325120,325120,325120,1
Biofuel,281121,Fuel Input; CO2,Raw Material,Upstream,Upstream | Raw Material,1,HS22,1,281121 | Fuel Input; CO2,2011,325120,325120,325120,1
Biofuel,281122,CO2 Reduction (Gas); Silica Gels,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,281122 | CO2 Reduction (Gas); Silica Gels,2013,325180,325180,325180,1
Biofuel,281511,Neutralization/deacidification; Sodium Hydroxide (Lye),Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,281511 | Neutralization/deacidification; Sodium Hydroxide (Lye),2013,325180,325180,325180,1
Biofuel,281820,Alumina Catalyst,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,281820 | Alumina Catalyst,2442,331313,331313,331313,1
Biofuel,281830,Catalyst Input; Aluminum Hydroxide,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,281830 | Catalyst Input; Aluminum Hydroxide,2013,325180,325180,325180,1
Biofuel,282200,"Catalyst Input; Cobalt Oxide, Hydroxide",Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,"282200 | Catalyst Input; Cobalt Oxide, Hydroxide",2012,325180,325180,325180,1
Biofuel,282300,Catalyst Input; Titanium Oxides,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,282300 | Catalyst Input; Titanium Oxides,2012,325180,325130,325130,1
Biofuel,282560,Catalyst Input; Zirconium Dioxide,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,282560 | Catalyst Input; Zirconium Dioxide,2012,325180,325180,325180,1
Biofuel,282570,"Catalyst Input; Molybdenum Oxide, Dioxide",Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,"282570 | Catalyst Input; Molybdenum Oxide, Dioxide",2012,325180,325180,325180,1
